X,Y
-45.977116,-61.454155
-45.51632,-60.07397
42.309364,-13.977506
-18.370619,-33.354176
1.3419023,-66.66752
-45.580334,-59.97854
-34.21381,-0.9181981
-58.914337,-10.919554
-58.31327,53.426254
-66.84946,56.294914
-37.552345,-44.98276
-37.137665,-43.87925
-39.860966,-39.410282
-27.897108,-69.77933
15.037564,-38.997433
-41.56154,-52.701393
-31.21503,-41.257618
6.350151,-2.8597457
-59.296875,64.02627
-67.27873,60.67427
13.703048,57.283543
-44.55037,-38.094738
-45.84661,-61.055294
-59.317375,58.091267
-41.595646,-54.086906
-59.778465,62.71203
-31.650005,-42.272118
-37.52862,-44.945946
-44.389755,-37.416523
-66.80786,57.021355
-42.48278,-41.738884
54.22991,41.355236
-37.821182,-45.524563
19.686348,-28.066292
-27.660921,-8.082977
-55.562386,75.13047
-29.078438,-39.350525
-5.5710645,-60.919178
-59.01868,64.74258
-18.032213,-33.522007
-59.419388,59.65554
-33.16842,-15.179693
24.450836,-90.87123
-46.08254,-61.766365
-24.850708,-6.795673
-59.22538,58.968864
-36.070137,19.942564
10.667756,-8.419531
-23.890055,-35.599228
66.8755,5.8570294
-33.51469,-21.771786
-25.556736,-40.252476
-59.633778,62.791805
-30.19237,-11.44063
42.373753,-13.6488285
-5.6543036,-82.09949
-51.32902,24.489538
-97.015434,-0.20139469
61.10049,58.308258
-51.508915,25.662912
-26.813562,-69.77034
-57.053608,70.18736
-38.36705,-29.158455
-42.353935,-52.85529
-26.72408,-7.56318
-66.34194,58.2682
-67.85775,-56.393982
61.405212,-72.007484
-58.793835,53.83413
-45.60552,-56.308453
-37.662434,-40.869896
-41.855747,-54.618988
-6.3967657,-64.44248
-42.0953,-1.129818
-56.85331,18.395664
-40.492985,-48.830795
54.616657,40.72654
-3.0098689,89.29764
-51.43428,19.393957
-55.982044,-4.759884
13.989164,-33.43617
-16.634777,-66.83174
-35.458405,-28.416777
23.857275,-90.856476
-32.832912,-39.290882
-51.67006,-45.141914
-25.70991,-40.16456
-39.67545,-39.54764
90.56967,15.868205
-21.518625,-5.846514
-51.68962,22.626747
66.59933,34.0286
-16.695156,-4.5735073
-45.570618,-53.475056
-53.77438,-19.688345
-88.26899,5.3531547
-34.599594,-33.492825
-33.28321,-40.909298
-33.74378,-39.456097
-25.83979,-40.165928
-51.435223,19.39676
-11.2608795,-31.63281
-34.76039,-28.166365
-57.26102,52.968445
-27.184834,-8.414403
16.004036,68.649734
-11.007503,27.679243
-30.325731,-30.770792
71.75322,-1.2071878
-31.585733,-42.27696
-59.54002,75.67295
-41.528904,-49.14572
54.165627,41.36768
76.394684,-68.9268
-11.057721,27.658154
-25.037815,-5.8047976
-43.157593,-53.06256
-12.12182,-49.445698
-41.938313,-43.32123
-33.385147,-33.37623
-37.865726,-39.580875
-38.479717,-29.261427
-33.162037,-15.925652
-11.35469,-79.6811
81.48183,30.784145
-18.266264,-10.854449
-6.382815,-92.67379
-11.880626,-78.244316
-37.847214,-39.199783
-93.08346,-15.714283
54.73542,-60.656235
-28.87158,-18.048607
-58.34581,52.16112
-9.933565,49.721962
-20.992842,-5.797971
-42.14754,-55.96996
24.526781,-90.81335
-94.25061,-5.8128963
-75.93396,-60.744606
-34.152107,-23.006765
