Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Mario Party DS,4,2007.0,3,361,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,681,1
The Elder Scrolls V: Skyrim,28,2011.0,7,66,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,175,5
Super Mario Kart,23,1992.0,6,361,3.54,1.24,3.81,0.18,8.76,70.0,4.0,7.8,4.0,1539,1
FIFA 16,18,2015.0,10,139,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,449,1
Halo 2,29,2004.0,8,325,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,257,5
Wii Party,26,2010.0,3,361,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,994,1
Mario Party 8,26,2007.0,3,361,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,679,1
FIFA Soccer 13,17,2012.0,0,139,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,477,1
GoldenEye 007,10,1997.0,8,361,5.8,2.01,0.13,0.15,8.09,70.0,4.0,7.8,4.0,1539,1
Pokemon Black 2/Pokemon White 2,4,2012.0,7,361,2.79,1.72,3.14,0.41,8.07,70.0,4.0,7.8,4.0,1539,1
Final Fantasy X,16,2001.0,7,458,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,1370,7
The Sims 3,13,2009.0,9,139,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,1485,7
Mario & Sonic at the Olympic Games,26,2007.0,10,448,2.57,3.86,0.66,0.91,7.99,70.0,4.0,7.8,4.0,1539,1
Star Wars Battlefront (2015),18,2015.0,8,139,2.99,3.49,0.22,1.28,7.98,70.0,4.0,7.8,4.0,1539,1
Final Fantasy VIII,15,1999.0,7,469,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,1370,7
Pac-Man,0,1982.0,5,53,7.28,0.45,0.0,0.08,7.81,70.0,4.0,7.8,4.0,1539,1
Pokémon Platinum Version,4,2008.0,7,361,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,580,1
Grand Theft Auto: Liberty City Stories,19,2005.0,0,497,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,1218,5
Call of Duty: Advanced Warfare,18,2014.0,8,21,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,1326,5
The Legend of Zelda: Ocarina of Time,10,1998.0,0,361,4.1,1.89,1.45,0.16,7.6,70.0,4.0,7.8,4.0,1539,1
FIFA 17,18,2016.0,10,139,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,452,1
Crash Bandicoot 2: Cortex Strikes Back,15,1997.0,4,458,3.78,2.17,1.31,0.31,7.58,70.0,4.0,7.8,4.0,1539,1
Super Smash Bros. for Wii U and 3DS,2,2014.0,2,361,3.27,1.37,2.43,0.48,7.55,70.0,4.0,7.8,4.0,1539,1
Super Mario Galaxy 2,26,2010.0,4,361,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,1021,1
Super Mario Bros. 2,11,1988.0,4,361,5.39,1.18,0.7,0.19,7.46,70.0,4.0,7.8,4.0,1539,1
Call of Duty: Black Ops 3,30,2015.0,8,21,4.59,2.11,0.01,0.68,7.39,70.0,4.0,7.8,4.0,1539,1
Call of Duty: World at War,28,2008.0,8,21,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,1514,5
Battlefield 3,28,2011.0,8,139,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,437,5
Need for Speed Underground,16,2003.0,6,139,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,429,1
Just Dance,26,2009.0,3,528,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8,110.0,1550,2
Battlefield 3,17,2011.0,8,139,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,437,5
Fallout 4,18,2015.0,7,66,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,175,5
Tekken 3,15,1998.0,2,458,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,978,7
The Legend of Zelda: Twilight Princess,26,2006.0,0,361,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9,1658.0,1020,7
Pokemon Sun/Moon,2,2016.0,7,361,2.98,1.45,2.26,0.45,7.14,70.0,4.0,7.8,4.0,1539,1
Crash Bandicoot 3: Warped,15,1998.0,4,458,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,989,1
Mario Kart 8,27,2014.0,6,361,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,1020,1
Super Smash Bros. Melee,7,2001.0,2,361,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,638,7
Mario Kart: Double Dash!!,7,2003.0,6,361,4.12,1.77,0.87,0.19,6.95,70.0,4.0,7.8,4.0,1539,1
Need for Speed Underground 2,16,2004.0,6,139,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,431,1
Medal of Honor: Frontline,16,2002.0,8,139,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,441,7
Crash Bandicoot,15,1996.0,4,458,3.23,2.35,0.94,0.3,6.82,70.0,4.0,7.8,4.0,1539,1
Just Dance 4,26,2012.0,3,528,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,1539,2
Gears of War 2,28,2008.0,8,325,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,493,5
Uncharted 3: Drake's Deception,17,2011.0,0,458,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,989,7
Zumba Fitness,26,2010.0,10,6,3.45,2.59,0.0,0.66,6.71,70.0,4.0,7.8,4.0,1110,1
Call of Duty 4: Modern Warfare,17,2007.0,8,21,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,728,5
Uncharted 2: Among Thieves,17,2009.0,0,458,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,989,7
FIFA 12,17,2011.0,10,139,0.84,4.3,0.11,1.39,6.65,70.0,4.0,7.8,4.0,1539,1
Big Brain Academy,4,2005.0,3,361,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,1020,1
The Legend of Zelda,11,1986.0,0,361,3.74,0.93,1.69,0.14,6.51,70.0,4.0,7.8,4.0,1539,1
Red Dead Redemption,17,2010.0,0,497,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,1221,5
FIFA 14,17,2013.0,10,139,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,431,1
Assassin's Creed III,17,2012.0,0,528,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,1539,5
Donkey Kong Country Returns,26,2010.0,4,361,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,1210,1
Halo: Combat Evolved,29,2001.0,8,325,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,257,5
The Elder Scrolls V: Skyrim,17,2011.0,7,66,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,175,5
Pokémon Emerald Version,6,2004.0,7,361,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9,222.0,580,1
Kingdom Hearts,16,2002.0,7,458,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,1370,1
Pokémon Crystal Version,5,2000.0,7,361,2.55,1.56,1.29,0.99,6.39,70.0,4.0,7.8,4.0,1539,1
Halo 3: ODST,28,2009.0,8,325,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,258,5
Red Dead Redemption,28,2010.0,0,497,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9,2316.0,1221,5
